,Power,Wheels_Size,Rear_Tyre_&_Rim,Displacement,Cylinders,Fuel_Tank_Capacity,Front_Tyre_&_Rim,Torque,Fuel_System,Maruti Suzuki,Honda,Tata,Jeep,Kia,Hyundai,Bmw,Ford,Maruti Suzuki R,Mahindra
637,104.0,,,1462.0,4.0,45.0,,138.0,1.0,1,0,0,0,0,0,0,0,0,0
638,104.0,,,1462.0,4.0,45.0,,138.0,1.0,1,0,0,0,0,0,0,0,0,0
639,104.0,,,1462.0,4.0,45.0,,138.0,1.0,1,0,0,0,0,0,0,0,0,0
640,104.0,,,1462.0,4.0,45.0,,138.0,1.0,1,0,0,0,0,0,0,0,0,0
713,162.0,,,1368.0,6.0,60.0,,,1.0,0,0,0,1,0,0,0,0,0,0
714,162.0,,,1368.0,6.0,60.0,,,1.0,0,0,0,1,0,0,0,0,0,0
715,162.0,,,1368.0,6.0,60.0,,,1.0,0,0,0,1,0,0,0,0,0,0
716,173.0,,,1956.0,6.0,60.0,,,1.0,0,0,0,1,0,0,0,0,0,0
717,173.0,,,1956.0,6.0,60.0,,,1.0,0,0,0,1,0,0,0,0,0,0
718,173.0,,,1956.0,6.0,60.0,,,1.0,0,0,0,1,0,0,0,0,0,0
719,173.0,,,1956.0,6.0,60.0,,,1.0,0,0,0,1,0,0,0,0,0,0
720,173.0,,,1956.0,6.0,60.0,,,1.0,0,0,0,1,0,0,0,0,0,0
721,173.0,,,1956.0,6.0,60.0,,,1.0,0,0,0,1,0,0,0,0,0,0
723,162.0,,,1368.0,6.0,60.0,,,1.0,0,0,0,1,0,0,0,0,0,0
724,173.0,,,1956.0,6.0,60.0,,,1.0,0,0,0,1,0,0,0,0,0,0
725,173.0,,,1956.0,6.0,60.0,,,1.0,0,0,0,1,0,0,0,0,0,0
726,173.0,,,1956.0,6.0,60.0,,,1.0,0,0,0,1,0,0,0,0,0,0
727,162.0,,,1368.0,6.0,60.0,,,1.0,0,0,0,1,0,0,0,0,0,0
728,163.0,,,1368.0,6.0,60.0,,,1.0,0,0,0,1,0,0,0,0,0,0
729,162.0,,,1368.0,6.0,60.0,,,1.0,0,0,0,1,0,0,0,0,0,0
730,173.0,,,1956.0,6.0,60.0,,,1.0,0,0,0,1,0,0,0,0,0,0
731,173.0,,,1956.0,6.0,60.0,,,1.0,0,0,0,1,0,0,0,0,0,0
732,173.0,,,1956.0,6.0,60.0,,,1.0,0,0,0,1,0,0,0,0,0,0
733,173.0,,,1956.0,6.0,60.0,,,1.0,0,0,0,1,0,0,0,0,0,0
740,141.0,,,1799.0,4.0,47.0,,174.0,1.0,0,1,0,0,0,0,0,0,0,0
741,141.0,,,1799.0,4.0,47.0,,174.0,1.0,0,1,0,0,0,0,0,0,0,0
742,141.0,,,1799.0,4.0,47.0,,174.0,1.0,0,1,0,0,0,0,0,0,0,0
744,120.0,,,1597.0,4.0,47.0,,300.0,1.0,0,1,0,0,0,0,0,0,0,0
745,142.76,,,,,,,353.0,1.0,0,0,0,0,0,0,0,0,0,0
746,142.76,,,,,,,353.0,1.0,0,0,0,0,0,0,0,0,0,0
747,200.0,,,2199.0,4.0,,,,1.0,0,0,0,0,1,0,0,0,0,0
748,200.0,,,2199.0,4.0,,,,1.0,0,0,0,0,1,0,0,0,0,0
749,200.0,,,2199.0,4.0,,,,1.0,0,0,0,0,1,0,0,0,0,0
750,200.0,,,2199.0,4.0,,,,1.0,0,0,0,0,1,0,0,0,0,0
751,200.0,,,2199.0,4.0,,,,1.0,0,0,0,0,1,0,0,0,0,0
773,,,,1968.0,4.0,63.0,,,1.0,0,0,0,0,0,0,0,0,0,0
778,192.0,,,1998.0,4.0,51.0,,,1.0,0,0,0,0,0,0,1,0,0,0
781,19.0,,,1995.0,4.0,40.0,,400.0,1.0,0,0,0,0,0,0,1,0,0,0
782,19.0,,,1995.0,4.0,40.0,,400.0,1.0,0,0,0,0,0,0,1,0,0,0
783,25.0,,,1998.0,4.0,59.0,,400.0,1.0,0,0,0,0,0,0,1,0,0,0
789,179.0,235.0,235.0,1999.0,4.0,,235.0,,1.0,0,0,0,0,0,0,0,0,0,0
790,179.0,235.0,235.0,1999.0,4.0,,235.0,,1.0,0,0,0,0,0,0,0,0,0,0
791,245.0,235.0,235.0,1997.0,4.0,,235.0,,1.0,0,0,0,0,0,0,0,0,0,0
792,245.0,235.0,235.0,1997.0,4.0,,235.0,,1.0,0,0,0,0,0,0,0,0,0,0
802,,,,1995.0,4.0,60.0,,400.0,1.0,0,0,0,0,0,0,1,0,0,0
803,265.0,,,2993.0,6.0,68.0,,,1.0,0,0,0,0,0,0,1,0,0,0
